AwardTitle,StartDate,EndDate,AwardAmount,timeline_months
Conference: CASC-NSF Community Summit: Ensuring a Sustainable National Strategy for Computing Educational Transformation and Infrastructure,2026-01-15,2026-12-31,199163.0,11
Theory and Application of Temporal Network Embedding,2026-01-15,2026-08-31,85411.0,7
Leveraging Computation for Fostering Mathematical Creativity and Learning in Undergraduate Linear Algebra,2026-01-15,2028-12-31,399693.0,35
GOALI: CDS&E: New Algorithms for Analysis of Intact Protein Electrospray Mass Spectra,2026-01-15,2027-06-30,377337.0,17
Collaborative Research: III: Small: Physics-Informed Probabilistic Forecasting for Risk-Based System Decisions in Small-Data Environments,2026-01-15,2028-12-31,249999.0,35
CAREER: Composable Optimization for Robot Simulation and Control,2026-01-15,2030-09-30,650000.0,56
"Collaborative Research: Cracking the code of grass distributions: Using physiology, phenology, and phylogeny to build better mechanistic distribution models",2026-01-15,2029-12-31,841120.0,47
Conference: AI-Ready America Workshop,2026-01-15,2026-06-30,100000.0,5
CAREER: Evaluating Molecular Homogeneity in Three Nanometric Dimensions Using Nano-Projectile Secondary Ion Mass Spectrometry,2026-01-15,2029-07-31,458820.0,42
"Travel Grant: Increasing Visibility, Impact and Participation of U.S. Scientists to Discuss Emerging Research Trends in Geospace Science",2026-01-15,2026-12-31,39018.0,11
"MFAI: Data for and from Language Models: Information, Dynamics, Architectures, and Optimization",2026-01-15,2028-12-31,1200000.0,35
"Collaborative Research: Cracking the code of grass distributions: Using physiology, phenology, and phylogeny to build better mechanistic distribution models",2026-01-15,2029-12-31,190197.0,47
Learnable Tensor Algebras for Harnessing Implicit Correlations in Multiway Data,2026-01-15,2026-08-31,77082.0,7
Collaborative Research: Understanding the eco-evolutionary mechanisms underlying colonization potential in a tropical seagrass species,2026-01-15,2029-12-31,697607.0,47
Postdoctoral Fellowship: SPRF: Improving Employment Outcomes for Military Veterans: Translation of Structure into Success,2026-01-15,2027-12-31,160000.0,23
Installation of a 20 Tesla Magnet at CHESS,2026-01-15,2026-12-31,440000.0,11
Postdoctoral Fellowship: OCE-PRF: Do diatoms use proton-pumping rhodopsins as an alternative energy source under high light,2026-01-15,2026-11-30,104898.0,10
Postdoctoral Fellowship: SPRF: Characterizing Children's Language Processing Across Development,2026-01-15,2027-12-31,160000.0,23
Postdoctoral Fellowship: PRFB: Grounded in Volatility: Using Volatile Organic Compounds to Illuminate Plant-Influenced Microbial Phenotypes in Desert Soils,2026-01-15,2028-12-31,270000.0,35
Postdoctoral Fellowship: SPRF: Documenting Patterns of Variation in Sign Language Using Computer Vision,2026-01-15,2027-12-31,160000.0,23
Collaborative Research: FIRE-MODEL: Advancing Wildland Fire Modeling by Capturing Unresolved Canopy Dynamics,2026-01-15,2028-12-31,606882.0,35
Collaborative Research: CAIG: Understanding the dynamical behavior of dense granular media in Geosciences using Interpretable AI,2026-01-15,2028-12-31,218701.0,35
"IUCRC Phase I, Saint Louis University: Center for Accurate Georeferencing of the Environment (CAGE)",2026-01-15,2030-12-31,500000.0,59
CISE-ANR: FET: Small: ASTROCOMP- Advanced Stochastic Magnetic Tunnel Junction Architectures for Scalable Neuromorphic Computing,2026-01-15,2028-12-31,584353.0,35
"Collaborative Research: Cracking the code of grass distributions: Using physiology, phenology, and phylogeny to build better mechanistic distribution models",2026-01-15,2029-12-31,468683.0,47
Collaborative Research: Ecological significance and impact of viral infections on sulfate reducing microbial communities,2026-01-15,2028-08-31,434023.0,31
Randomized Algorithms for Operator Approximations in Sobolev Spaces,2026-01-15,2028-12-31,330000.0,35
Collaborative Research: FIRE-MODEL: Advancing Wildland Fire Modeling by Capturing Unresolved Canopy Dynamics,2026-01-15,2028-12-31,430171.0,35
CAREER: Uncovering Faculty Beliefs and Values to Define a Model of Doctoral Education in Chemistry,2026-01-15,2027-08-31,283843.0,19
Collaborative Research: CAIG: Understanding the dynamical behavior of dense granular media in Geosciences using Interpretable AI,2026-01-15,2028-12-31,558188.0,35
CIF: Small: Resource-Constrained Distributed Multiple Testing with False Discovery Rate Control,2026-01-15,2026-11-30,138325.0,10
Collaborative Research: III: Small: Physics-Informed Probabilistic Forecasting for Risk-Based System Decisions in Small-Data Environments,2026-01-15,2028-12-31,250000.0,35
Postdoctoral Fellowship: SPRF: Idiomatic Language as a Diagnostic Marker in Alzheimers Dementia,2026-01-15,2027-12-31,160000.0,23
Stochastic moving boundary problems in fluid-structure interaction,2026-01-15,2027-07-31,97945.0,18
GEM: Quantifying Electron Microburst Precipitation Associated with Chorus Waves in the Earth's Inner Magnetosphere,2026-01-15,2029-07-31,635942.0,42
Measuring Integration in Affordable Housing with Location Data,2026-01-01,2026-08-31,340706.0,7
Restoration of soil biodiversity and ecosystem function following agricultural legacies,2026-01-01,2030-12-31,970143.0,59
CICI: RSSD: LLMDaL: LLM-Driven Data Labeling for Training ML Models,2026-01-01,2028-12-31,600000.0,35
Collaborative Research: Introductory Course Material to Increase Participation in College Majors: A Randomized Curriculum Intervention in Economics,2026-01-01,2028-12-31,267811.0,35
"TRAILBLAZER: Bringing the Solid State to Life with Cell Crystals to Transform Biosensing in Environmental, Health Care, and National Security Applications",2026-01-01,2028-12-31,2999724.0,35
Conference: Invention to Innovation: A Workshop Series on Testbed Models for Technology Translation,2026-01-01,2026-12-31,60000.0,11
Collaborative Research: Supporting High School Computing Teachers with the Accessible Learning Labs,2026-01-01,2027-12-31,161827.0,23
Collaborative Research: constraining the role of benthic nepheloid layers in altering benthic fluxes of trace elements in the Labrador Sea,2026-01-01,2028-12-31,445830.0,35
Collaborative Research: Testing stable zirconium isotope variability in the ocean,2026-01-01,2027-08-31,585639.0,19
Collaborative Research: ECO-CBET: Solar-Driven Zero Liquid Discharge to Enable Inland Desalination for Climate-Adaptive Water Resilience,2026-01-01,2028-07-31,405713.0,30
Collaborative Research: Virtual Workshops to Support Two-Year College Geoscience Faculty to Engage in Funded STEM Education Research and Improvement Initiatives,2026-01-01,2028-12-31,222468.0,35
LEAPS-MPS: Spin-Triplet Superconductivity in Noncentrosymmetric Thin Films Probed by Electrical Transport,2026-01-01,2027-12-31,249995.0,23
"Wild, Captive, to Wild: Completing the Circle to Recover a Threatened Mammal and Restore Biodiversity",2026-01-01,2030-12-31,1527502.0,59
Collaborative Research: Managing across scales: Can habitat restoration reverse declines in salt marsh birds,2026-01-01,2030-12-31,401760.0,59
IRES: Exploring Urban Housing Solutions from a Systems Perspective,2026-01-01,2028-12-31,446545.0,35
Collaborative Research: Managing across scales: Can habitat restoration reverse declines in salt marsh birds,2026-01-01,2030-12-31,391583.0,59
LEAPS-MPS: Ion-beam induced defects to enhance the critical current of high-temperature superconductors,2026-01-01,2027-12-31,250000.0,23
EPSCoR Research Fellows: NSF: Dynamic Nuclear Polarization and Solid-State Nuclear Magnetic Resonance Investigations of Pathogenic Bacterial Biofilm,2026-01-01,2027-12-31,207937.0,23
"UKRI AHRC- NSF SBE: Spatial organization, urbanization and drivers of health and longevity",2026-01-01,2028-12-31,266771.0,35
LEAPS-MPS: Geometry and Topology of Dual Artin Groups,2026-01-01,2027-12-31,250000.0,23
Collaborative Research: CAIG: Physics-informed Machine Learning of Ice Calving and Sliding,2026-01-01,2028-12-31,600397.0,35
"Collaborative Research: RI:Small: Use-Inspired RL for Many-Agent Contexts: Co-opetition, Partial Observability, and Dynamic Types",2026-01-01,2028-12-31,299664.0,35
Controlling the Synthesis and Placement of Organic Color-Centers with Light,2026-01-01,2028-12-31,570000.0,35
Collaborative Research: FIRE-MODEL: Advanced AI Framework to Improve Understanding and Prediction of Wildland Fire,2026-01-01,2028-12-31,989332.0,35
Collaborative Research: FIRE-MODEL: Using multitemporal ecosystem energetics to understand changes to fuels and future fire regimes,2026-01-01,2028-12-31,156663.0,35
Disciplinary Improvements: Open and FAIR samples: maturing the sample data ecosystem,2026-01-01,2028-12-31,599462.0,35
Collaborative Research: Elements - A Transparent-middle-layer computational and data management infrastructure for synoptic applications of cosmogenic-nuclide geochemistry,2026-01-01,2028-12-31,133540.0,35
EPSCoR Research Fellows NASA: Immobilized Ionic Liquids for the Selective Extraction of Rare Earth Critical Elements from Waste Streams,2026-01-01,2027-12-31,300000.0,23
"Collaborative Research: CAIG: Understanding radiative feedbacks, ocean heat uptake, and energy conservation to improve ML-climate emulations",2026-01-01,2028-12-31,410837.0,35
Collaborative Research: GEO OSE Track 1: Toward an Open Science Geologic Time Scale,2026-01-01,2027-12-31,77181.0,23
RET Site: Atomic Scale Design and Engineering for Sustainable Solutions,2026-01-01,2028-12-31,599889.0,35
Collaborative Research: Exploring an Integrated Cognitive-Emotional State Assessment System to Support Real-Time Automation Intervention Design for Advanced Driving Systems,2026-01-01,2028-12-31,300000.0,35
"Collaborative Research: FIRE-MODEL: Impacts of rapid shifts of moisture availability on regional landscapes, forest hydrology and flammability",2026-01-01,2029-12-31,1481250.0,47
Collaborative Research: constraining the role of benthic nepheloid layers in altering benthic fluxes of trace elements in the Labrador Sea,2026-01-01,2028-12-31,184226.0,35
Collaborative Research: Novel Designs of GNSS-Acoustic Surveying for Low-Cost Seafloor Geodesy,2026-01-01,2028-12-31,690855.0,35
"Collaborative Research: FIRE-MODEL: Impacts of rapid shifts of moisture availability on regional landscapes, forest hydrology and flammability",2026-01-01,2029-12-31,313749.0,47
EPSCoR Research Fellows: NSF: Advancing Hydrogel-Based Fire Suppression Through Collaborative Material Development and Performance Validation,2026-01-01,2027-12-31,268833.0,23
Conference: 51st Arkansas Spring Lecture Series in the Mathematical Sciences,2026-01-01,2026-12-31,36600.0,11
Collaborative Research: Novel Designs of GNSS-Acoustic Surveying for Low-Cost Seafloor Geodesy,2026-01-01,2028-12-31,1418325.0,35
NSF-ANR CHE: Design And Development of Earth-Abundant Metal Catalysts for Nitrous Oxide and Carbon Dioxide Reactions with Hydrocarbons,2026-01-01,2029-12-31,640853.0,47
Travel: Student Travel Support for 2026 IEEE Radio & Wireless Week (RWW),2026-01-01,2026-09-30,25000.0,8
Collaborative Research: REU Site: Research Opportunities in Rock Deformation,2026-01-01,2028-12-31,64651.0,35
Quantum Stimulated Raman Spectroscopy and Sensing,2026-01-01,2028-12-31,444534.0,35
Explorations: Tennessee Experiential Learning for Teachers and Students to Empower Pathways into Microelectronics,2026-01-01,2028-12-31,999353.0,35
CAREER: Improved Models for Spatial Skills Learning through a Multi-Case Study of Computer-Aided Design Education,2026-01-01,2030-12-31,649752.0,59
FIRE-NET: Fast Fire Risk Across the US West: Cross-Sector Synthesis to Advance Discovery and Solutions,2026-01-01,2030-12-31,2496689.0,59
Circuit- and Signal-Domain Co-Design in GaN Technologies for 6G Wireless Systems,2026-01-01,2027-12-31,255000.0,23
CAREER: Disengaging attention from distractions,2026-01-01,2030-12-31,659257.0,59
Collaborative Research: CAIG: Space-time completeness of seismic ground motions via non-intrusive model order reduction,2026-01-01,2028-12-31,462400.0,35
Collaborative Research: REU Site: Research Opportunities in Rock Deformation,2026-01-01,2028-12-31,30884.0,35
CICI: UCSS: Secure Machine Learning as a Service for Collaborative Scientific Research,2026-01-01,2028-12-31,600000.0,35
Explorations: Building Experiential Learning Pathways to Careers in Emerging Technology Fields for Rural Vermont Communities,2026-01-01,2028-12-31,1000000.0,35
CAIG: Quantifying Regional-Scale Carbon Dynamics of Thawing Arctic Permafrost Using Progressive Neural Operators,2026-01-01,2028-12-31,743180.0,35
REU Site: Pioneering Opportunities Within Energy & Resource Systems for Undergraduate Research (POWER-UP),2026-01-01,2028-12-31,451379.0,35
CICI: IPAAI: Multi-Layer Data Provenance and Federated Learning for Securing Scientific AI Pipelines,2026-01-01,2028-12-31,900000.0,35
Collaborative Research: CAIG: Unraveling the Long-Range Predictability and Environmental Dependency of High-impact Cyclones with Artificial Intelligence Tools,2026-01-01,2028-12-31,350000.0,35
Collaborative Research: constraining the role of benthic nepheloid layers in altering benthic fluxes of trace elements in the Labrador Sea,2026-01-01,2028-12-31,261861.0,35
"SCC-IRG: Edge AI, Biofabrication, and Data Science for Disaster Preparedness and Community Wellbeing in Hawaii",2026-01-01,2028-12-31,1249999.0,35
"Collaborative Research: RI:Small: Use-Inspired RL for Many-Agent Contexts: Co-opetition, Partial Observability, and Dynamic Types",2026-01-01,2028-12-31,299743.0,35
Collaborative Research: GEO OSE Track 1: Toward an Open Science Geologic Time Scale,2026-01-01,2027-12-31,151544.0,23
EPSCoR Research Fellows: NSF: Using Next-Gen Network-Scale Models to Predict Ecosystem Responses to Hydrologic Disturbance,2026-01-01,2027-12-31,122385.0,23
Collaborative Research: CyberTraining: Implementation: Small: EMBARK: Developing essential skills to (re)use an ocean of data,2026-01-01,2027-12-31,85310.0,23
NSF-DFG: SaTC: CORE: Small: Interoperable Encrypted Messaging,2026-01-01,2028-12-31,510000.0,35
Travel: NSF Student Travel Support for the 2026 ACM International Conference on Web Search and Data Mining,2026-01-01,2026-12-31,25000.0,11
ENG-AI: Harnessing Deformation in Nanocomposites via Artificial Intelligence-Assisted and Processing-Driven Far-from-Equilibrium Amorphous-Crystalline Interfaces,2026-01-01,2028-12-31,400000.0,35
Cross-Cutting Improvements: Open Science to Improve the Publish-Review-Curate-Assessment Workflow,2026-01-01,2028-12-31,599980.0,35
CPS: Small: Uncertainty-Aware Monitoring of Autonomous Cyber-Physical Systems: Offline and Online Safety Analysis with Hybrid Formal and Non-Formal Models,2026-01-01,2028-12-31,364155.0,35
Collaborative Research: CAIG: Multi-Task and Multi-Scale Deep Learning Inversion for Geophysical Imaging and Monitoring,2026-01-01,2028-12-31,589708.0,35
TRAILBLAZER: Leveraging Extreme Environment Experimental Mechanics to Decipher Deep-Focus Earthquake Faulting Mechanisms,2026-01-01,2028-12-31,3000000.0,35
Collaborative Research: United States Cosmics Leaving OUtdoor Droplets (CLOUD) Consortium,2026-01-01,2028-12-31,500704.0,35
CICI: IPAAI: REPAIRT: Securing xApps in Open RANs with Reliable and Principled AI Red-Teaming,2026-01-01,2028-12-31,900000.0,35
Collaborative Research: CISE-ANR: FET: Small: Complexity theory aspects of quantum cryptography,2026-01-01,2028-12-31,102699.0,35
"Interrogating Properties and Reaction Pathways of Aryl ""onium"" Reagents to Reveal New Chemical Functions",2026-01-01,2027-06-30,240000.0,17
CAREER: Do urban heat islands facilitate tropical species invasions A test integrating course-based undergraduate research and a multi-institution researcher network,2026-01-01,2030-12-31,855911.0,59
Charting Emergent Surface and Bulk States in Correlated Insulators,2026-01-01,2027-12-31,245246.0,23
Conference: Collaborative Research at the Intersection of Statistics and Engineering: High-Dimensional Data Analysis,2026-01-01,2026-12-31,20000.0,11
Transforming Mathematics Education for the Next-Generation Workforce: Building Pathways to Data Science and AI through Accessible Innovations,2026-01-01,2028-12-31,499867.0,35
Collaborative Research: PACSP: Integrating fungal biodiversity into oak savanna ecosystem conservation and restoration,2026-01-01,2030-12-31,347326.0,59
"IGE: Track 1: Transforming Masters-Level Engineering Education through Industry Partnerships, Principled Engineering, and Experiential Learning",2026-01-01,2028-12-31,499700.0,35
Postdoctoral Fellowship: PRFB: Using Deep Learning to Assess the Impacts of Genome Duplication on Gene Networks Important for Crop Domestication and Resilience,2026-01-01,2028-12-31,279000.0,35
"Optimization, Risk Management and Adaptation for Integrated Infrastructure Systems under Technological and Policy Uncertainties",2026-01-01,2028-12-31,440888.0,35
Collaborative Research: Designing Drop-In Solid Biofuel Blends via Harmonization Across Combustion and Fuel Science,2026-01-01,2028-12-31,365677.0,35
Math and Physical Science Scholarship Program,2026-01-01,2030-12-31,1999999.0,59
EPSCoR Research Fellows: NSF: Physics-Informed Machine Learning for Accelerated Discovery and Dynamics Analysis in Ultrafast X-Ray Diffraction,2026-01-01,2027-12-31,299989.0,23
Collaborative Research: RAPID: Seafloor Eruption Opens a Window into Productivity and Ecosystem Recovery at Deep-Sea Vents,2026-01-01,2026-12-31,52276.0,11
Collaborative Research: Mechanisms to explain continental scaling of size spectra in freshwater streams.,2026-01-01,2028-12-31,549501.0,35
Collaborative Research: Mechanisms to explain continental scaling of size spectra in freshwater streams.,2026-01-01,2028-12-31,169540.0,35
Explore novel fire-retardant additives for electrolyte to enhance battery fire safety,2026-01-01,2028-12-31,420988.0,35
CAIG: Synthetic Data Generation for Solar Energetic Particle Events by Multimodal Augmentation,2026-01-01,2028-12-31,749989.0,35
Collaborative Research: SHF: Small: Reimagining Communication Bottlenecks in GNN Acceleration through Collaborative Locality Enhancement and Compression Co-Design,2026-01-01,2026-09-30,264299.0,8
"Postdoctoral Fellowship: SPRF: AI-based Models of Human Decision Making, Learning, and Innovation in Novel Systems of Rules and Reward",2026-01-01,2027-12-31,160000.0,23
REU Site: Quantum Computing Workforce Development in the New Era of Computing,2026-01-01,2028-12-31,366893.0,35
CICI:TCR: B-CU Fortifying Cyberinfrastructure Operations for Research and Education,2026-01-01,2028-12-31,897563.0,35
CICI:IPAAI: SCRYPTS-AI: Systems and CRYPtographic Tools for Scientific AI,2026-01-01,2028-12-31,899838.0,35
Collaborative Research: CNS Core: Small: Privacy by Memory Design,2026-01-01,2026-11-30,560043.0,10
Conference: CI PAOS: FAIROS PI Workshop,2026-01-01,2026-12-31,69525.0,11
Collaborative Research: CAIG: Multi-Task and Multi-Scale Deep Learning Inversion for Geophysical Imaging and Monitoring,2026-01-01,2028-12-31,193567.0,35
Conference: Workshop on Frontiers in Learning under Data Heterogeneity,2026-01-01,2026-12-31,11000.0,11
EPSCoR Research Fellows: NSF: Using Metabolomics to Listen in on Marine Microbial Interactions,2026-01-01,2027-12-31,271143.0,23
"Sectional Curvature, Isotropic Curvature, and Curvature Operators",2026-01-01,2027-08-31,79876.0,19
Conference: Invention to Innovation: A Workshop Series on Testbed Models for Technology Translation,2026-01-01,2026-12-31,60000.0,11
Collaborative Research: The impact of ocean warming on bioactive trace metal requirements and use efficiencies of marine nitrifying microorganisms,2026-01-01,2027-04-30,516886.0,15
LEAPS-MPS: The computation of special functions in potential theory in multiply connected domains,2026-01-01,2027-12-31,247390.0,23
TRAILBLAZER: Biomaterials for Programming Tissue Development,2026-01-01,2028-12-31,3000000.0,35
Collaborative Research: Elements - A Transparent-middle-layer computational and data management infrastructure for synoptic applications of cosmogenic-nuclide geochemistry,2026-01-01,2028-12-31,280188.0,35
Collaborative Research: BoCP-Implementation: Functional Biodiversity on a Changing Planet Through the Lens of Seasonal Camouflage,2026-01-01,2029-08-31,850107.0,43
"SaTC: CORE: Small: Lattices, number theory, and distribution questions in cryptography",2026-01-01,2026-12-31,10754.0,11
Collaborative Research: Investigating Gender Differences in Digital Learning Games with Educational Data Mining,2026-01-01,2026-06-30,18260.0,5
Collaborative Research: PACSP: Integrating fungal biodiversity into oak savanna ecosystem conservation and restoration,2026-01-01,2030-12-31,351886.0,59
LEAPS-MPS: Elucidating the Role of Seed Chemical Composition in Interzeolite Transformation Synthesis,2026-01-01,2027-12-31,249999.0,23
From genetic management to genetic rescue: Quantifying outbreeding depression thresholds in threatened Chiricahua Leopard Frogs (Lithobates chiricahuensis),2026-01-01,2030-12-31,876730.0,59
Collaborative Research: Quantifying Biogeochemical Cycles of Sub-Arctic Agroecosystems and Forecasting Future Scenarios,2026-01-01,2028-12-31,1170034.0,35
Collaborative Research: Introductory Course Material to Increase Participation in College Majors: A Randomized Curriculum Intervention in Economics,2026-01-01,2028-12-31,49194.0,35
Collaborative Research: Virtual Workshops to Support Two-Year College Geoscience Faculty to Engage in Funded STEM Education Research and Improvement Initiatives,2026-01-01,2028-12-31,84747.0,35
Collaborative Research: CAIG: Space-time completeness of seismic ground motions via non-intrusive model order reduction,2026-01-01,2028-12-31,386220.0,35
"Participatory research program on the butterflies of Ecuador's protected areas: Taxonomic, phylogenetic and functional diversity across space and time",2026-01-01,2029-12-31,1168975.0,47
Bayesian Model Selection and Model Combination Using Novel Developments of Stein's Unbiased Risk Estimator,2026-01-01,2028-07-31,240000.0,30
REU Site: Integrating Machine Learning and Causal Principles for Civil and Environmental Engineers,2026-01-01,2028-12-31,454087.0,35
"RAPID: Field Survey of the 10 August 2025, Tracy Arm, Alaska, Landslide-Generated Tsunami",2026-01-01,2026-12-31,50194.0,11
Collaborative Research: RAPID: Seafloor Eruption Opens a Window into Productivity and Ecosystem Recovery at Deep-Sea Vents,2026-01-01,2026-12-31,47590.0,11
Collaborative Research: AIMing: Synergistic Advancement of AI and Mathematics,2026-01-01,2028-12-31,400000.0,35
Collaborative Research: RAPID: Seafloor Eruption Opens a Window into Productivity and Ecosystem Recovery at Deep-Sea Vents,2026-01-01,2026-12-31,100000.0,11
Conference: Travel Support for the 11th Thermal and Fluids Engineering Conference,2026-01-01,2026-12-31,24997.0,11
"Cliometrics Conferences 2021, 2023 and World Congress for 2022",2026-01-01,2026-06-30,51585.0,5
Collaborative Research: FW-HTF-RL: Trapeze: Responsible AI-assisted Talent Acquisition for HR Specialists,2026-01-01,2027-08-31,329946.0,19
FMitF: Track III: Teaching Program Specifications to the Scientific Computing Community,2026-01-01,2028-12-31,248779.0,35
CICI: TCR: Protecting and Hardening Scientific Use Of Software Libraries With GRISL,2026-01-01,2028-12-31,600000.0,35
AF:Small: Quantified Polyhedral Programming,2026-01-01,2028-12-31,599999.0,35
Research: Engineering Preparedness Reimagined: Bridging Stakeholder Perspectives to Shape the Future Workforce,2026-01-01,2029-12-31,399551.0,47
Support of US Participation in the Scientific Committee for Antarctic Research (SCAR),2026-01-01,2026-06-30,537251.0,5
Collaborative Research: CIF: Small: Designing Plotkin Transform Codes via Machine Learning,2026-01-01,2027-05-31,109106.0,16
Collaborative Research: Generalizable and Adaptive RF Signal Generative Models for Next-Generation Wireless Communication and Sensing,2026-01-01,2028-12-31,210000.0,35
CAREER: CAS-Climate: Forecast-informed Flexible Reservoir System Modeling Enabled by Artificial Intelligence Algorithms Using Subseasonal-to-Seasonal Hydroclimatological Forecasts,2026-01-01,2028-08-31,385737.0,31
CAREER: CAS: Highly Stable Depolymerizable Polymers with Tunable Thermal and Mechanical Properties as Sustainable Materials,2026-01-01,2026-06-30,31192.0,5
NSF CISE Research Expansion Investigators Conference on NSF Priorities Areas - Maine and Neighboring Jurisdictions,2026-01-01,2027-12-31,278570.0,23
CAREER: CAS: Organometallic Chemistry of Catalytically Relevant Copper(III) Complexes,2026-01-01,2028-04-30,435789.0,27
EPSCoR Research Fellows: NSF: Analysis on Models of Fluid Mechanics and Mathematical Physics,2026-01-01,2027-12-31,234669.0,23
Collaborative Research: Understanding the Drivers of Exchange Rates through International Asset Prices and Capital Flows,2026-01-01,2028-04-30,144947.0,27
Collaborative Research: CyberTraining: Implementation: Small: EMBARK: Developing essential skills to (re)use an ocean of data,2026-01-01,2027-12-31,242648.0,23
Collaborative Research: The Relationship between Agriculture and Social Change,2026-01-01,2028-08-31,40180.0,31
CICI: RSSD: LLMDaL: LLM-Driven Data Labeling for Training ML Models,2026-01-01,2028-12-31,600000.0,35
Collaborative Research: Tectonic Influence on the Greenland Ice Sheet (TIGRIS),2026-01-01,2029-12-31,343679.0,47
"CICI:TCR:Software Supply Chain Security in High-Performance Computing: Understanding, Evaluation and Transition",2026-01-01,2028-12-31,1199875.0,35
Collaborative Research: Discipline-Specific Methods to Build Foundational Knowledge About Spatial Skills that are Relevant to Contemporary Engineering Practice,2026-01-01,2028-12-31,346929.0,35
CAREER: Table-Top Attosecond-Pump Attosecond-Probe Spectroscopy,2026-01-01,2030-12-31,490771.0,59
AF:Small: Extremal Combinatorics and Analysis of Algorithms,2026-01-01,2028-12-31,600000.0,35
CAREER: A Cryptographic Toolbox for a Privacy-Preserving Web,2026-01-01,2030-04-30,377003.0,51
"Collaborative Research: Edge CMT: Polygenic traits of heat stress phenome in coral ""dark genes"" from genome to functional applications",2026-01-01,2026-11-30,51226.0,10
Conference: CRA-NSF Industry Summit: Ensuring a Sustainable National Strategy for Computing Educational Transformation and Infrastructure,2026-01-01,2026-12-31,138516.0,11
EPSCoR Research Fellows: NSF: Probing Deformation Mechanisms in Heterogeneous Lamellar Metals for Breaking the Strength-Ductility Trade-off Condition,2026-01-01,2027-12-31,299985.0,23
Quantum Computing for Topological and PDE Solvers to Accelerate Finite Element Modeling of Heterogeneous Porous Materials,2026-01-01,2028-12-31,593965.0,35
"Collaborative Research: CAIG: Understanding radiative feedbacks, ocean heat uptake, and energy conservation to improve ML-climate emulations",2026-01-01,2028-12-31,783920.0,35
EPSCOR Research Fellows: NSF: Multifunctional Metamaterial Design for Future Electric Vertical Take-off and Landing Aircrafts,2026-01-01,2027-12-31,300000.0,23
Bifurcation in Context: Essential ingredients and coupling with partners,2026-01-01,2028-12-31,605000.0,35
Collaborative Research: FIRE-NET: Improving Fire Response Time through a Unified Data-Driven Geographical Approach: Decision-Support Data Integration Network sYstem (DeSDINY),2026-01-01,2028-12-31,249479.0,35
NSF-ANR CHE: Insights into Alkene Hydrofunctionalization from Mechanistic and Reactivity Studies,2026-01-01,2029-12-31,650151.0,47
ERI: Fundamental Insights into Self-Repairing Mechanisms in Superhydrophobic Coatings,2026-01-01,2027-12-31,198462.0,23
Collaborative Research: Exploring an Integrated Cognitive-Emotional State Assessment System to Support Real-Time Automation Intervention Design for Advanced Driving Systems,2026-01-01,2028-12-31,300000.0,35
EPSCoR Research Fellows: NSF: Forest Richness-Productivity Relationships: Scaling from Cells to Continents,2026-01-01,2027-12-31,249111.0,23
"PRIMES: Geometry, Topology, and Dynamics of Higher Rank Character Varieties.",2026-01-01,2027-12-31,376177.0,23
Collaborative Research: Elements - A Transparent-middle-layer computational and data management infrastructure for synoptic applications of cosmogenic-nuclide geochemistry,2026-01-01,2028-12-31,109289.0,35
EPSCoR Research Fellows: NSF: Dynamic Energy Budget Theory to Predict Lifetime Fitness and Productivity Across Phenotypic and Energetic Landscapes,2026-01-01,2027-12-31,239412.0,23
Collaborative Research: Harnessing beaver-based restoration to conserve freshwater biodiversity across environmental gradients,2026-01-01,2030-12-31,531217.0,59
Collaborative Research: CISE-ANR: FET: Small: Complexity theory aspects of quantum cryptography,2026-01-01,2028-12-31,111606.0,35
Collaborative Research: CyberTraining: Implementation: Small: EMBARK: Developing essential skills to (re)use an ocean of data,2026-01-01,2027-12-31,168136.0,23
Conference: FIRE-NET: Adirondack Fire Futures: a Convergent Wildland Fire Science Symposium,2026-01-01,2027-06-30,49967.0,17
Collaborative Research: CISE-EPSRC: Efficient Constraint-Based Musculotendon Simulation for Biomechanically Accurate Characters,2026-01-01,2029-12-31,230000.0,47
Beginnings: Experiential Semiconductor Training in Emerging Nano-Technologies,2026-01-01,2028-12-31,994527.0,35
Collaborative Research: FIRE-NET: Improving Fire Response Time through a Unified Data-Driven Geographical Approach: Decision-Support Data Integration Network sYstem (DeSDINY),2026-01-01,2028-12-31,1822107.0,35
Collaborative Research: Harnessing beaver-based restoration to conserve freshwater biodiversity across environmental gradients,2026-01-01,2030-12-31,251815.0,59
Collaborative Research: NSF-ANR QISE: QUANTINT: Quantum Information and Network Theory: Algorithms and Performance Limits,2026-01-01,2028-12-31,300000.0,35
NSF-ANR CHE: Catalyzed Dearomatization by Earth Abundant Metals,2026-01-01,2029-12-31,560760.0,47
Supporting Student Learning and Success in Early Undergraduate Mathematics Courses via AI-Enhanced Education,2026-01-01,2028-12-31,373963.0,35
Research: Developing and Piloting a Prompt Engineering Competency Framework for Software Engineering Education,2026-01-01,2028-12-31,350000.0,35
MCA: Using metatranscriptomics to uncover mechanisms underlying drought-mediated plant-microbe interactions that influence plant community structure,2026-01-01,2028-12-31,348691.0,35
IRES: Applied Energy Innovation in Organic and Bio Materials,2026-01-01,2028-12-31,444871.0,35
EPSCoR Research Fellows: NSF: Unraveling Cosmological Tensions by Modeling the Oldest Stars with Improved Treatments of Convection in Stellar Interiors,2026-01-01,2027-12-31,299999.0,23
Planning: Innovative Grant Network for Institutional Transformations and Excellence (IGNITE),2026-01-01,2027-06-30,164592.0,17
